,index,brand,model,prod_class,prod_short_descr,has_reviews,url,reported_exceptions
0,0,Acer,Acer Aspire E5-574-53QS computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/user-reviews#user-reviews,
1,1,Acer,Acer Aspire ES1-571-P1MG computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Pentium 3556U 1.7GHz processor, 4GB of memory, Intel HD Graphics graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/user-reviews#user-reviews,
2,2,Acer,Acer Aspire R5-571T-57Z0 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/user-reviews#user-reviews,
3,3,Acer,Acer Aspire R7-372T-54TM computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-r7-372t-54tm-387107/user-reviews#user-reviews,
4,4,Acer,Acer Spin 5 SP513-51-55ZR computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/user-reviews#user-reviews,
5,5,Acer,Acer Swift 3 SF314-51-52W2 computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-swift-3-sf314-51-52w2-387923/user-reviews#user-reviews,
6,6,Apple,Apple MacBook Pro 15-inch with Touch Bar MPTU2LL/A computer,laptop,"A 15.4-inch laptop tested with macOS Sierra 10.12, an Intel Core i7 2.8GHz processor, 16GB of memory, AMD Radeon Pro 555/Intel HD Graphics 630 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-touch-bar-392574/user-reviews#user-reviews,
7,7,Asus,Asus EeeBook E402MA-EH computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Celeron N2840 2.16GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-eeebook-e402ma-eh-386280/user-reviews#user-reviews,
8,8,Asus,Asus Q304UA-BBI5T10 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 6GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-q304ua-bbi5t10-386676/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
9,9,Asus,Asus T300CHI-RHM5T06 computer,laptop,"A 12.5-inch detachable laptop tested with Windows 10 Home, an Intel Core M-5Y10c 0.8GHz processor, 4GB of memory, Intel HD Graphics 5300 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-t300chi-rhm5t06-385010/user-reviews#user-reviews,
10,10,Asus,Asus Transformer Book T100CHI-C1 computer,laptop,"A 10.1-inch detachable laptop tested with Windows 8.1 with Bing, an Intel Atom Z3775 1.46GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-transformer-book-t100chi-c1-379138/user-reviews#user-reviews,
11,11,Asus,Asus VivoBook E403SA-US21 computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Pentium N3700 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-vivobook-e403sa-us21-386117/user-reviews#user-reviews,
12,12,Asus,Asus X555YA-DB84Q computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an AMD A8-7410 2.2GHz processor, 8GB of memory, AMD Radeon R5 Graphics graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-x555ya-db84q-387687/user-reviews#user-reviews,
13,13,Dell,Dell Inspiron I3452-600BLK computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/dell-inspiron-i3452-600blk-384994/user-reviews#user-reviews,
14,14,Dell,Dell Inspiron i5568-5240 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/dell-inspiron-i5568-5240-387264/user-reviews#user-reviews,
15,15,HP,HP ENVY x360 15t Touch 7th Gen computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-envy-x360-15t-touch-7th-gen-387889/user-reviews#user-reviews,
16,16,HP,HP Laptop 17.3 computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-laptop-17-3-386464/user-reviews#user-reviews,
17,17,HP,HP Pavilion x2 12b010nr computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Atom x5-Z8500 1.44GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x2-12b010nr-385667/user-reviews#user-reviews,
18,18,Huawei,Huawei Matebook computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 4GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/huawei-matebook-387684/user-reviews#user-reviews,
19,19,Lenovo,Lenovo 110-15IBR 80T7000HUS computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3060 1.6GHz processor, 4GB of memory, Intel HD Graphics 400 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-110-15ibr-386678/user-reviews#user-reviews,
20,20,Lenovo,Lenovo 300-17ISK 80QH008MUS computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i3-6100U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-300-17isk-386677/user-reviews#user-reviews,
21,21,Lenovo,Lenovo Flex 3 80LY0008US computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-flex-3-80ly0008us-385003/user-reviews#user-reviews,
22,22,Lenovo,Lenovo Ideapad 300S computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-300s-385670/user-reviews#user-reviews,
23,23,Lenovo,Lenovo Ideapad Miix 310 computer,laptop,"A 10.1-inch detachable laptop tested with Windows 10 Home, an Intel Atom Z8350 1.44GHz processor, 2GB of memory, Intel HD Graphics 400 graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-310-387117/user-reviews#user-reviews,
24,24,Lenovo,Lenovo Ideapad Y700 80NU000UUS computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, AMD Radeon R9 M375/Intel HD Graphics 530 graphics, and a 500GB hard drive and 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nu000sus-386451/user-reviews#user-reviews,
25,25,Lenovo,Lenovo Ideapad Y700 80NW000PUS computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, NVIDIA GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nw000pus-386453/user-reviews#user-reviews,
26,26,Lenovo,Lenovo Ideapad Y700 80Q0008WUS computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, Nvidia GeForce 960M/Intel HD Graphics 530 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80q0008wus-386452/user-reviews#user-reviews,
27,27,Lenovo,Lenovo ThinkPad N22 computer,laptop,"An 11.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-n22-387458/user-reviews#user-reviews,
28,28,Lenovo,Lenovo ThinkPad X1 Carbon 4th Gen computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-carbon-4th-gen-386343/user-reviews#user-reviews,
29,29,LG,LG gram 14Z950 computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-5200U 2.2GHz processor, 8GB of memory, Intel HD Graphics 5500 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-14z950-384804/user-reviews#user-reviews,
30,30,LG,LG gram 15Z960 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-15z-960-386112/user-reviews#user-reviews,
31,31,Samsung,Samsung ATIV Book 9 NP930X2K-K02US computer,laptop,"A 12.2-inch laptop tested with Windows 8.1, an Intel Core M-5Y31 0.9GHz processor, 4GB of memory, Intel HD Graphics 5300 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-ativ-book-9-np930x2k-k02us-371599/user-reviews#user-reviews,
32,32,Samsung,Samsung Notebook 7 740U5LE computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 12GB of memory, Nvidia GeForce 940MX/Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-7-740u5le-387110/user-reviews#user-reviews,
33,33,Samsung,Samsung Notebook 9 spin NP940X3L-K01US computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-9-spin-np940x3l-k01us-385106/user-reviews#user-reviews,
34,34,Vaio,Vaio Z computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6267U 2.9GHz processor, 8GB of memory, Intel Iris Graphics 550 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-z-386114/user-reviews#user-reviews,
35,35,Vaio,Vaio Z Canvas computer,laptop,"A 12.3-inch detachable laptop tested with Windows 10 Pro, an Intel Core i7-4770HQ 2.2GHz processor, 16GB of memory, Intel Iris Pro Graphics 5200 graphics, a touchscreen, and a 512GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-z-canvas-385680/user-reviews#user-reviews,
36,36,Vaio,Vaio Z Flip computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6267U 2.9GHz processor, 8GB of memory, Intel Iris Graphics 550 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-flip-z-385731/user-reviews#user-reviews,
37,37,Acer,Acer Aspire E5-575T-3678 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i3-6006U 2GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-e5-575t-3678-388641/user-reviews#user-reviews,
38,38,Acer,Acer Aspire ES 15 E5-573-35JA computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i3-5005U 2GHz processor, 4GB of memory, Intel HD Graphics 5500 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-es-15-e5-573-35ja-386283/user-reviews#user-reviews,
39,39,Acer,Acer Aspire ES1-533-C55P computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3350 1.1GHz processor, 4GB of memory, Intel HD Graphics 500 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-es1-533-c55p-388642/user-reviews#user-reviews,
40,40,Acer,Acer Aspire F5-573-505W computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-f5-573-505w-386465/user-reviews#user-reviews,
41,41,Acer,Acer Aspire Nitro VN7- 592G-77 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 16GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, and a 1TB hard drive and 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-nitro-vn7-592g-77-386284/user-reviews#user-reviews,
42,42,Acer,Acer Aspire R3-131T-P6G7 computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Pentium N3710 1.6GHz processor, 4GB of memory, Intel HD Graphics 405 graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-r3-131t-p6g7-387266/user-reviews#user-reviews,
43,43,Acer,Acer Aspire S 13 S5-371T-76CY computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 512GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-s-13-s5-371t-76cy-387895/user-reviews#user-reviews,
44,44,Acer,Acer Aspire S5-371-52JR computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-s5-371-52jr-386553/user-reviews#user-reviews,
45,45,Acer,Acer Aspire Switch 10 SW5-015-198P computer,laptop,"A 10.1-inch detachable laptop tested with Windows 10 Home, an Intel Atom Z3735F 1.33GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-switch-10-sw5-015-198p-386345/user-reviews#user-reviews,
46,46,Acer,Acer Aspire V5-591G-55PV computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 950M/Intel HD Graphics 530 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-v5-591g-55pv-387108/user-reviews#user-reviews,
47,47,Acer,Acer Spin 1 SP111-31-C2W3 computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Celeron N3350 1.1GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-spin-1-sp111-31-c2w3-388639/user-reviews#user-reviews,
48,48,Acer,Acer Swift 7 SF713-51-M90J computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-7Y54 1.2GHz processor, 8GB of memory, Intel HD Graphics 615 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-swift-7-sf713-51-m90j-387922/user-reviews#user-reviews,
49,49,Acer,Acer Switch Alpha 12 SA5-271-594J computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-switch-alpha-12-sa5-271-594j-386446/user-reviews#user-reviews,
50,50,Apple,Apple MacBook 12-inch MLHE2LL/A computer,laptop,"A 12-inch laptop tested with OS X El Capitan 10.11, an Intel Core m3 1.1GHz processor, 8GB of memory, Intel HD Graphics 515 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mlhe2ll-a-386115/user-reviews#user-reviews,
51,51,Apple,Apple MacBook 12-inch MNYH2LL/A computer,laptop,"A 12-inch laptop tested with macOS Sierra 10.12, an Intel Core m3 1.2GHz processor, 8GB of memory, Intel HD Graphics 615 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-392572/user-reviews#user-reviews,
52,52,Apple,Apple MacBook Pro 13-inch MLL42LL/A computer,laptop,"A 13.3-inch laptop tested with macOS Sierra 10.12, an Intel Core i5 2GHz processor, 8GB of memory, Intel Iris Graphics 540 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mll42ll-a-388052/user-reviews#user-reviews,
53,53,Apple,Apple MacBook Pro 13-inch MPXR2LL/A computer,laptop,"A 13.3-inch laptop tested with macOS Sierra 10.12, an Intel Core i5 2.3GHz processor, 8GB of memory, Intel Iris Plus Graphics 640 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-no-touch-bar-392573/user-reviews#user-reviews,
54,54,Asus,Asus Q304UA-BHI5T11 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 6GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-q304ua-bhi5t11-387894/user-reviews#user-reviews,
55,55,Asus,Asus Q524UQ-BBI7T14 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core I7-6500U 2.5GHz processor, 12GB of memory, Nvidia GeForce 940MX/Intel HD Graphics 530 graphics, a touchscreen, and a 2TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-q524uq-bbi7t14-386679/user-reviews#user-reviews,
56,56,Asus,Asus Q524UQ-BHI7T15 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7500U 2.7GHz processor, 12GB of memory, NVIDIA GeForce 940MX/Intel HD Graphics 620 graphics, a touchscreen, and a 2TB hybrid drive hard drive.",False,http://www.consumerreports.org/products/laptop/asus-q524uq-bhi7t15-388948/user-reviews#user-reviews,
57,57,Asus,Asus Transformer Book T300CHI-F1-DB computer,laptop,"A 12.5-inch detachable laptop tested with Windows 8.1, an Intel Core M-5Y10c 0.8GHz processor, 4GB of memory, Intel HD Graphics 5300 graphics, a touchscreen, and a 128GB solid-state drive.",False,http://www.consumerreports.org/products/laptop/asus-transformer-book-t300chi-f1-db-381372/user-reviews#user-reviews,
58,58,Asus,Asus VivoBook E200HA-US01 computer,laptop,"An 11.6-inch laptop tested with Windows 10 Home, an Intel Atom x5-Z8300 1.44GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-vivobook-e200ha-us01-385911/user-reviews#user-reviews,
59,59,Asus,Asus VivoBook Pro N552VX computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core I7-6700HQ 2.6GHz processor, 16GB of memory, Nvidia GeForce GTX 950M/Intel HD Graphics 530 graphics, a touchscreen, and a 512GB solid state drive and 2TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-vivobook-pro-n552vx-387457/user-reviews#user-reviews,
60,60,Dell,Dell Inspiron 11 3000 computer,laptop,"An 11.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/dell-inspiron-11-3000-385665/user-reviews#user-reviews,
61,61,Dell,Dell Inspiron 11 3000 3rd Gen computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 4GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/brondell-inspiron-11-3000-3rd-gen-387111/user-reviews#user-reviews,
62,62,Dell,Dell Inspiron 13 7000 3rd Gen computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/brondell-inspiron-13-7000-3rd-gen-387114/user-reviews#user-reviews,
63,63,Dell,Dell Inspiron 15 5000 3rd-Gen computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/brondell-inspiron-15-5000-3rd-gen-387113/user-reviews#user-reviews,
64,64,Dell,Dell Inspiron 15 7000 3rd-Gen computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/brondell-inspiron-15-7000-3rd-gen-387115/user-reviews#user-reviews,
65,65,Dell,Dell Inspiron 17 7000 3rd-Gen computer,laptop,"A 17.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 12GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/brondell-inspiron-17-7000-3rd-gen-387116/user-reviews#user-reviews,
66,66,Dell,Dell Inspiron i3567-3465BLK computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i3-7100U 2.4GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/dell-inspiron-i3567-3465blk-389334/user-reviews#user-reviews,
